Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A714526,,10/24/2015 04:01:00 PM,10/24/2015 04:01:00 PM,13300 William Harrison in Travis (TX),Stray,Normal,Dog,Intact Female,6 months,Labrador Retriever Mix,Black
A799344,Gibby,07/07/2019 03:17:00 PM,07/07/2019 03:17:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,French Bulldog,Brown Brindle
A674165,*Isis,03/08/2014 03:05:00 PM,03/08/2014 03:05:00 PM,Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Pointer/Ibizan Hound,Red/White
A756031,Luna,08/12/2017 11:33:00 PM,08/12/2017 11:33:00 PM,6502 Auburndale in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Rat Terrier Mix,Brown Brindle/White
A693172,*Libby,12/03/2014 11:51:00 AM,12/03/2014 11:51:00 AM,409 Covenant Canyon Trl in Lakeway (TX),Stray,Normal,Dog,Intact Female,7 months,Border Collie/German Shepherd,Black/White
A763082,,12/02/2017 03:21:00 PM,12/02/2017 03:21:00 PM,14200 The Lakes in Pflugerville (TX),Stray,Normal,Dog,Intact Male,2 years,Standard Poodle,White
A713192,*Renji,10/03/2015 04:10:00 PM,10/03/2015 04:10:00 PM,Betty Cook in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A750364,,05/26/2017 12:48:00 PM,05/26/2017 12:48:00 PM,1715 Cesar Chavez in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,White/Black
A713092,Justice,10/02/2015 02:19:00 PM,10/02/2015 02:19:00 PM,Manor Rd & Cherrywood in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Great Pyrenees Mix,White
A605283,Pumpkin,01/07/2017 03:29:00 PM,01/07/2017 03:29:00 PM,12909 Bloomfiled Dr in Travis (TX),Stray,Normal,Dog,Spayed Female,7 years,Boxer Mix,Tan/White
